task_id,priority,theme,region_bucket,seed_ticker,seed_company,market_country,asset_pool,bfs_depth,module,current_pool,source_targets,extraction_keywords,expansion_goal,agent_prompt
DISC-0042,P0_expand_now,power_cooling_grid,US,APLD,Applied Digital,US,美国资产池,D1-D4,AI data center developer,候选/雷达池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: APLD Applied Digital. Module: AI data center developer. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0033,P0_expand_now,power_cooling_grid,US,ETN,Eaton,US,美国资产池,D2-D4,Electrical equipment,核心/候选池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: ETN Eaton. Module: Electrical equipment. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0036,P0_expand_now,power_cooling_grid,US,MOD,Modine,US,美国资产池,D2-D3,Thermal management,候选池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: MOD Modine. Module: Thermal management. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0035,P0_expand_now,power_cooling_grid,US,POWL,Powell Industries,US,美国资产池,D3-D4,Electrical switchgear,候选池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: POWL Powell Industries. Module: Electrical switchgear. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0037,P0_expand_now,power_cooling_grid,US,SPXC,SPX Technologies,US,美国资产池,D3-D4,Cooling/HVAC/electrical niches,雷达/候选池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: SPXC SPX Technologies. Module: Cooling/HVAC/electrical niches. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0032,P0_expand_now,power_cooling_grid,US,VRT,Vertiv,US,美国资产池,D2,AI data center power/thermal,核心池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: VRT Vertiv. Module: AI data center power/thermal. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0075,P0_expand_now,advanced_packaging_substrate,china_hk,002156.SZ,通富微电,A股主板,中国资产池,D3,OSAT,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002156.SZ 通富微电. Module: OSAT. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0076,P0_expand_now,advanced_packaging_substrate,china_hk,002185.SZ,华天科技,A股主板,中国资产池,D3,OSAT,雷达/候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002185.SZ 华天科技. Module: OSAT. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0059,P0_expand_now,advanced_packaging_substrate,china_hk,002436.SZ,兴森科技,A股主板,中国资产池,D3,IC substrate/PCB,雷达/候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002436.SZ 兴森科技. Module: IC substrate/PCB. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0055,P0_expand_now,advanced_packaging_substrate,china_hk,002916.SZ,深南电路,A股主板,中国资产池,D3,PCB / substrate / packaging support,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002916.SZ 深南电路. Module: PCB / substrate / packaging support. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0050,P0_expand_now,compute_gpu_asic,china_hk,000977.SZ,浪潮信息,A股主板,中国资产池,D2,AI server OEM,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 000977.SZ 浪潮信息. Module: AI server OEM. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0053,P0_expand_now,compute_gpu_asic,china_hk,0992.HK,联想集团,H股,中国资产池,D2,AI server/OEM,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 0992.HK 联想集团. Module: AI server/OEM. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0049,P0_expand_now,compute_gpu_asic,china_hk,601138.SH,工业富联,A股主板,中国资产池,D2,AI server/rack manufacturing,候选/核心候选,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 601138.SH 工业富联. Module: AI server/rack manufacturing. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0084,P0_expand_now,hbm_memory_storage,china_hk,0522.HK,ASMPT,H股,中国资产池,D3,Packaging equipment / TCB,核心候选,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 0522.HK ASMPT. Module: Packaging equipment / TCB. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0074,P0_expand_now,hbm_memory_storage,china_hk,600584.SH,长电科技,A股主板,中国资产池,D3,OSAT / advanced packaging,候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 600584.SH 长电科技. Module: OSAT / advanced packaging. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0052,P0_expand_now,networking_fabric,china_hk,000063.SZ / 0763.HK,中兴通讯,A股主板/H股,中国资产池,D2-D3,Networking/telecom/DC equipment,候选/雷达池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 000063.SZ / 0763.HK 中兴通讯. Module: Networking/telecom/DC equipment. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0051,P0_expand_now,networking_fabric,china_hk,000938.SZ,紫光股份,A股主板,中国资产池,D2-D3,Network/server/cloud infra,候选/雷达池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 000938.SZ 紫光股份. Module: Network/server/cloud infra. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0054,P0_expand_now,networking_fabric,china_hk,002463.SZ,沪电股份,A股主板,中国资产池,D3,AI server PCB/high-speed board,核心候选,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002463.SZ 沪电股份. Module: AI server PCB/high-speed board. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0063,P0_expand_now,networking_fabric,china_hk,603083.SH,剑桥科技,A股主板,中国资产池,D2-D3,Optical modules,候选/雷达池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 603083.SH 剑桥科技. Module: Optical modules. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0057,P0_expand_now,networking_fabric,china_hk,603228.SH,景旺电子,A股主板,中国资产池,D3,PCB,雷达/候选池,"annual report, product pages, switch/NIC/retimer/AEC roadmap, hyperscaler network disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; 800G; 1.6T; Ethernet; InfiniBand; NVLink; retimer; AEC; SerDes,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 603228.SH 景旺电子. Module: PCB. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0062,P0_expand_now,optics_photonics_cpo,china_hk,000988.SZ,华工科技,A股主板,中国资产池,D2-D3,Optics/laser/equipment,候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 000988.SZ 华工科技. Module: Optics/laser/equipment. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0061,P0_expand_now,optics_photonics_cpo,china_hk,002281.SZ,光迅科技,A股主板,中国资产池,D2-D3,Optical modules/components,候选池,"annual report, OFC/OCP product pages, 800G/1.6T/CPO qualification, laser capacity disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CPO; LPO; silicon photonics; InP; EML; DFB; external light source,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002281.SZ 光迅科技. Module: Optical modules/components. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0067,P0_expand_now,power_cooling_grid,china_hk,002335.SZ,科华数据,A股主板,中国资产池,D2-D4,UPS/IDC/power,候选/雷达池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002335.SZ 科华数据. Module: UPS/IDC/power. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0068,P0_expand_now,power_cooling_grid,china_hk,002518.SZ,科士达,A股主板,中国资产池,D2-D4,UPS/power electronics,候选/雷达池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002518.SZ 科士达. Module: UPS/power electronics. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0065,P0_expand_now,power_cooling_grid,china_hk,002837.SZ,英维克,A股主板,中国资产池,D2-D3,Data center cooling/liquid cooling,候选/核心候选,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 002837.SZ 英维克. Module: Data center cooling/liquid cooling. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0085,P0_expand_now,power_cooling_grid,china_hk,9698.HK / GDS,万国数据 GDS,H股/ADR,中国资产池,D1-D4,IDC / AI data center,候选/雷达池,"annual report, backlog, book-to-bill, lead-time commentary, data center customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; liquid cooling; CDU; cold plate; UPS; PDU; switchgear; transformer; MW,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 9698.HK / GDS 万国数据 GDS. Module: IDC / AI data center. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0056,P0_expand_now,testing_metrology,china_hk,600183.SH,生益科技,A股主板,中国资产池,D3,CCL / high-speed materials,候选池,"annual report, product application pages, orders/backlog, tester/probe/socket revenue mix",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; probe card; wafer probe; known good die; memory test; SoC test; inspection,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 600183.SH 生益科技. Module: CCL / high-speed materials. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0113,P0_expand_now,advanced_packaging_substrate,satellite_non_us,009150.KS,Samsung Electro-Mechanics,韩国,卫星资产池,D3,Substrate / components,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 009150.KS Samsung Electro-Mechanics. Module: Substrate / components. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0101,P0_expand_now,advanced_packaging_substrate,satellite_non_us,2802.T,Ajinomoto,日本,卫星资产池,D3,ABF material,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 2802.T Ajinomoto. Module: ABF material. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0121,P0_expand_now,advanced_packaging_substrate,satellite_non_us,3189.TW,Kinsus,台湾,卫星资产池,D3,Substrate,雷达/候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 3189.TW Kinsus. Module: Substrate. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0115,P0_expand_now,advanced_packaging_substrate,satellite_non_us,3711.TW / ASX,ASE Technology,台湾,卫星资产池,D2-D3,OSAT / advanced packaging,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 3711.TW / ASX ASE Technology. Module: OSAT / advanced packaging. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0120,P0_expand_now,advanced_packaging_substrate,satellite_non_us,8046.TW,Nan Ya PCB,台湾,卫星资产池,D3,Substrate / PCB,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 8046.TW Nan Ya PCB. Module: Substrate / PCB. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0130,P0_expand_now,advanced_packaging_substrate,satellite_non_us,SUSS.DE,SÜSS MicroTec,欧洲,卫星资产池,D3,Advanced packaging tools,核心候选,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: SUSS.DE SÜSS MicroTec. Module: Advanced packaging tools. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0107,P0_expand_now,compute_gpu_asic,satellite_non_us,000660.KS,SK hynix,韩国,卫星资产池,D2,HBM/DRAM,核心池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 000660.KS SK hynix. Module: HBM/DRAM. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0108,P0_expand_now,compute_gpu_asic,satellite_non_us,005930.KS,Samsung Electronics,韩国,卫星资产池,D2-D4,HBM/DRAM/foundry/packaging,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 005930.KS Samsung Electronics. Module: HBM/DRAM/foundry/packaging. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0114,P0_expand_now,compute_gpu_asic,satellite_non_us,2330.TW / TSM,TSMC,台湾,卫星资产池,D2,Leading-edge foundry + CoWoS,核心池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: 2330.TW / TSM TSMC. Module: Leading-edge foundry + CoWoS. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
