rank,priority_tier,ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,verification_status,source_priority,primary_sources_to_find,metrics_to_verify,upgrade_conditions,downgrade_conditions,evidence_state,counterevidence,dependency_path,dependency_edge,etf_clue,smart_money_clue
53,P0_first_batch,002185.SZ,华天科技,A股主板,中国资产池,D3,OSAT,雷达/候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,AI高端封装证据弱,AI chip/testing narrative → packaging/test services,客户边+反证边,A股半导体ETF,公募/北向
54,P0_first_batch,002436.SZ,兴森科技,A股主板,中国资产池,D3,IC substrate/PCB,雷达/候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,产能爬坡、良率、客户认证,advanced packaging/AI chip → substrate/PCB → revenue upgrade,BOM边+技术边,A股电子材料ETF,公募/北向
55,P0_first_batch,0992.HK,联想集团,H股,中国资产池,D2,AI server/OEM,候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / customer concentration note / inventory and margin disclosure,AI server revenue; rack-scale shipment; inventory; gross margin; customer concentration; liquid-cooled rack mix,"AI server/rack revenue and margins are disclosed, backlog converts to revenue, and inventory risk is controlled.","Revenue grows but margin compresses, inventory rises, or business remains low-margin assembly without bottleneck power.",待原文核验,低毛利、客户集中、库存,GPU/ASIC demand → AI server/rack delivery → revenue/margins,客户边+BOM边,HK tech/regional ETFs,港股通/13F ADR? 待查
56,P0_first_batch,603228.SH,景旺电子,A股主板,中国资产池,D3,PCB,雷达/候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,AI相关性待拆分,AI server/networking → PCB demand → revenue/mix,BOM边,A股电子ETF,公募/北向
57,P0_first_batch,2301.TW,Lite-On,台湾,卫星资产池,D3,Power supply / optoelectronics,候选/雷达池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI占比、价格竞争,AI server power + optical components → revenue/mix,BOM边,Taiwan tech ETFs,IBKR台股
58,P0_first_batch,2382.TW,Quanta,台湾,卫星资产池,D2,AI server ODM,候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / customer concentration note / inventory and margin disclosure,AI server revenue; rack-scale shipment; inventory; gross margin; customer concentration; liquid-cooled rack mix,"AI server/rack revenue and margins are disclosed, backlog converts to revenue, and inventory risk is controlled.","Revenue grows but margin compresses, inventory rises, or business remains low-margin assembly without bottleneck power.",待原文核验,低毛利、客户集中、库存,GPU platforms → rack/server integration → shipments,客户边+BOM边,Taiwan tech ETFs,IBKR台股需权限
59,P0_first_batch,6669.TW,Wiwynn,台湾,卫星资产池,D2,AI server ODM,候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / customer concentration note / inventory and margin disclosure,AI server revenue; rack-scale shipment; inventory; gross margin; customer concentration; liquid-cooled rack mix,"AI server/rack revenue and margins are disclosed, backlog converts to revenue, and inventory risk is controlled.","Revenue grows but margin compresses, inventory rises, or business remains low-margin assembly without bottleneck power.",待原文核验,客户集中、低毛利,AI rack demand → ODM integration → revenue/margins,客户边+BOM边,Taiwan tech ETFs,IBKR台股需权限
60,P0_first_batch,MTRS.ST,Munters,欧洲,卫星资产池,D3,Thermal management,候选/雷达池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI占比/竞争,AI DC cooling → air/liquid/thermal solutions,客户边+技术边,Nordic industrial ETFs,IBKR瑞典
61,P0_first_batch,AMZN,Amazon,US,美国资产池,D0-D1,AWS + Trainium + Anthropic,核心beta,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",原文已证明: Anthropic 5GW agreement线索; 财务拆分待核验,Trainium性能/生态、CapEx回报、AWS margin,Anthropic/Bedrock demand → AWS + Trainium → DC/GPU/ASIC/network/power,客户边+技术边+现金流边,QQQ/XLK/VGT/AIQ,13F大盘；云CapEx观察线
62,P0_first_batch,ANET,Arista Networks,US,美国资产池,D2,AI Ethernet networking,核心/候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验: AI cluster revenue/backlog,客户集中、Ethernet价格竞争、NVLink/IB替代,LLM cluster scale-out → Ethernet switch fabric → AI network ports,客户边+技术边,SMH/SOXX/tech ETFs,13F/networking funds
63,P0_first_batch,CDNS,Cadence,US,美国资产池,D3,EDA/simulation,核心beta/候选,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center revenue; custom silicon revenue; design wins; NRE vs mass production; IP royalty; customer concentration,Original sources prove sustained AI compute or ASIC demand and supply-chain pull-through to D2/D3.,"Revenue is concentrated, one-off NRE, software moat blocks adoption, or customer disclosures are too thin.",待原文核验,估值、EDA周期、并购监管,AI chip/3DIC complexity → EDA/simulation → backlog/revenue,技术边+现金流边,SMH/SOXX/tech ETFs,13F大盘
64,P0_first_batch,GOOGL,Alphabet / Google,US,美国资产池,D0-D1,Gemini + TPU + GCP,核心beta,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center compute revenue; accelerator roadmap; networking/rack-scale systems; supply constraints; gross margin; customer concentration,"Original sources prove sustained AI compute demand, platform pull-through, and supply-chain transmission into D2/D3.","Growth slows, supply constraints ease into oversupply, margins compress, or workload shifts weaken the platform moat.",原文已证明: CapEx/technical infra/TPU线索; 细分客户待核验,TPU硬件销售波动、AI搜索商业化、能耗/折旧,Gemini/Claude/enterprise AI → TPU/GPU deployment → server/DC/networking,客户边+技术边+现金流边,QQQ/XLK/VGT/AIQ,13F大盘；TPU生态资金线
65,P0_first_batch,SMTC,Semtech,US,美国资产池,D3,Signal integrity / optical DSP adjacent,雷达/候选池,92,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,非AI业务拖累、路线替代,AI optics → signal chain/DSP/linear drivers → module BOM,BOM边+技术边,semis ETFs待查,13F small/mid
66,P0_first_batch,002156.SZ,通富微电,A股主板,中国资产池,D3,OSAT,候选池,90,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,客户集中、封测周期,AI/HPC chips → packaging/test → OSAT revenue,客户边+技术边,A股半导体ETF,公募/北向
67,P0_first_batch,095340.KQ,ISC,韩国,卫星资产池,D3,Test sockets,候选池,90,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,待原文核验,客户集中、周期,AI/HBM testing → socket demand → revenue,BOM边+技术边,Korea semis ETFs,IBKR韩国权限需核验
68,P0_first_batch,6515.TW,WinWay,台湾,卫星资产池,D3,Probe card / test socket,候选池,90,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,待原文核验,客户集中、订单周期,AI/HBM test → high-end probe/socket → ASP/revenue,BOM边+技术边,Taiwan semis ETFs,IBKR台股需权限
69,P1_d1_d3_followup,603083.SH,剑桥科技,A股主板,中国资产池,D2-D3,Optical modules,候选/雷达池,89,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,客户集中、价格战、订单波动,AI cluster networking → optical transceivers → revenue/margins,客户边+BOM边,A股光模块主题ETF,公募/游资线索，不作证据
70,P1_d1_d3_followup,131290.KQ,TSE,韩国,卫星资产池,D3,Probe/test interface,雷达/候选池,89,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,待原文核验,AI证据弱、周期,AI/HBM wafer/final test → probe/test interface,BOM边,Korea small-cap ETFs待查,IBKR韩国权限需核验
71,P1_d1_d3_followup,3189.TW,Kinsus,台湾,卫星资产池,D3,Substrate,雷达/候选池,89,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,良率/客户/周期,AI chip package → substrate demand,BOM边,Taiwan semis ETFs,IBKR台股需权限
72,P1_d1_d3_followup,AAOI,Applied Optoelectronics,US,美国资产池,D2-D3,Datacom optical modules,候选/雷达池,89,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验: customer wins and margins,毛利率、客户集中、价格战、执行风险 | [options-flow-alert 2026-05-13: pressure_score=5531 vol_oi=0.87],AI cluster network → 800G/1.6T module demand → datacom optical revenue,客户边+BOM边,small-cap/AI optics ETFs待查,13F小盘动量/options
73,P1_d1_d3_followup,MU,Micron,US,美国资产池,D2,HBM + DRAM + eSSD,核心/候选池,89,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / earnings call / investor presentation / product roadmap,HBM revenue or mix; capacity plan; ASP/margin; customer qualification; HBM3E/HBM4 roadmap,"Company filings prove AI/HBM revenue mix, capacity tightness, improving margin, and multi-customer demand.","HBM exposure is not disclosed, demand is commodity DRAM recovery, or capacity additions point to fast oversupply.","待原文核验: HBM sold-out, ASP, margins",HBM供给过剩、NAND周期误判、ASP反转 | [options-flow-alert 2026-05-13: pressure_score=3865 vol_oi=0.26; squeeze_score=40053 vol_oi=0.79],GPU/ASIC → HBM + server DRAM/eSSD → memory revenue/margins,BOM边+产能边+现金流边,SMH/SOXX/AIQ,13F半导体/存储周期资金
74,P1_d1_d3_followup,002384.SZ,东山精密,A股主板,中国资产池,D3,PCB/precision components,雷达池,87,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,消费电子混杂、AI纯度弱,AI server/optical/electronics → PCB/precision components,BOM边,A股电子ETF,公募/北向
75,P1_d1_d3_followup,002913.SZ,奥士康,A股主板,中国资产池,D3,PCB,雷达池,87,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,客户/AI占比弱,AI server/switch → high-speed PCB demand,BOM边,A股电子ETF,公募待查
76,P1_d1_d3_followup,COHU,Cohu,US,美国资产池,D3,Test handlers / sockets,雷达池,84,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,待原文核验,AI相关性弱/周期性,AI/HBM final test → handlers/sockets → test capacity,BOM边+产能边,XSD/small semis待查,13F小盘
77,P1_d1_d3_followup,DOCN,DigitalOcean,US,美国资产池,D1-D3,SMB cloud / AI cloud services,雷达池,81,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,10-K/20-F / quarterly results / debt filings / customer contracts / power and datacenter disclosures,backlog quality; contracted MW; utilization; depreciation; interest expense; customer concentration; FCF,"Backlog is take-or-pay or high-quality, utilization is high, cash collection is visible, and leverage is manageable.","Revenue depends on leverage, customer concentration, weak contract terms, GPU residual risk, or negative FCF spiral.",待原文核验,hyperscaler competition、GPU economics,Developer AI workloads → cloud GPU/API services → revenue,客户边+现金流边,cloud/software ETFs,13F growth funds
78,P1_d1_d3_followup,ORCL,Oracle,US,美国资产池,D1,AI cloud / Stargate cloud capacity,候选池,81,core_review,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,10-K/20-F / quarterly results / debt filings / customer contracts / power and datacenter disclosures,backlog quality; contracted MW; utilization; depreciation; interest expense; customer concentration; FCF,"Backlog is take-or-pay or high-quality, utilization is high, cash collection is visible, and leverage is manageable.","Revenue depends on leverage, customer concentration, weak contract terms, GPU residual risk, or negative FCF spiral.",合理推论+待原文核验: RPO/合同质量/CapEx细节,客户集中、项目融资、电力/许可、毛利率,OpenAI/Stargate/enterprise AI → OCI capacity → GPU clusters/DC/power,客户边+产能边+现金流边,QQQ? enterprise tech ETFs,13F/credit market/债券线索
79,P1_d1_d3_followup,META,Meta Platforms,US,美国资产池,D0-D1,Open-source frontier + AI products + internal infra,核心beta/需求验证,78,high_priority,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.","待原文核验: AI CapEx, MTIA, infra depreciation",广告ROI、CapEx回报、开源模型成本,Meta AI/Llama/ad AI → internal GPU/ASIC/DC buildout → infra demand,客户边+现金流边+技术边,QQQ/XLK/VGT/AIQ,13F核心持仓
80,P1_d1_d3_followup,AMD,AMD,US,美国资产池,D1,GPU/CPU AI compute,核心/候选池,77,high_priority,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center compute revenue; accelerator roadmap; networking/rack-scale systems; supply constraints; gross margin; customer concentration,"Original sources prove sustained AI compute demand, platform pull-through, and supply-chain transmission into D2/D3.","Growth slows, supply constraints ease into oversupply, margins compress, or workload shifts weaken the platform moat.",原文需核验: data center / Instinct / EPYC segment metrics,CUDA生态、毛利率、供给链、客户集中,LLM training/inference → Instinct GPU + EPYC host CPU → cloud/enterprise AI,客户边+BOM边+技术边,SMH/SOXX/AIQ/XLK,13F大盘；options活跃
81,P1_d1_d3_followup,MSFT,Microsoft,US,美国资产池,D0-D1,Azure + OpenAI demand aggregator,核心beta,77,high_priority,pending_original_source_verification,Find latest annual/quarterly filings and one official source proving the dependency path.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.","原文需核验: Azure AI contribution, RPO, CapEx, depreciation",AI毛利率、CapEx回报、OpenAI集中、反垄断,OpenAI/Copilot demand → Azure AI infra → GPU/ASIC/DC power,客户边+现金流边+产能边,QQQ/XLK/VGT/AIQ,13F/主动基金核心持仓；期权流动性强
82,P2_radar_if_blocks_d2,SU.PA,Schneider Electric,欧洲,卫星资产池,D2-D4,Data center electrical equipment,核心池,91,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,10-K/20-F / quarterly results / debt filings / customer contracts / power and datacenter disclosures,backlog quality; contracted MW; utilization; depreciation; interest expense; customer concentration; FCF,"Backlog is take-or-pay or high-quality, utilization is high, cash collection is visible, and leverage is manageable.","Revenue depends on leverage, customer concentration, weak contract terms, GPU residual risk, or negative FCF spiral.",待原文核验,AI占比、订单透支、估值,AI DC power/thermal → electrical gear/software → backlog,产能边+现金流边,GRID/industrial/infrastructure ETFs,IBKR/ADR; 13F ADR?
83,P2_radar_if_blocks_d2,CRWV,CoreWeave,US,美国资产池,D1-D4,NeoCloud / GPU-as-a-Service,候选池,86,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center compute revenue; accelerator roadmap; networking/rack-scale systems; supply constraints; gross margin; customer concentration,"Original sources prove sustained AI compute demand, platform pull-through, and supply-chain transmission into D2/D3.","Growth slows, supply constraints ease into oversupply, margins compress, or workload shifts weaken the platform moat.",原文已证明: backlog/active power线索; contract quality待核验,高杠杆、客户集中、GPU残值、利息/折旧,LLM lab demand → GPU capacity lease → data center/power/debt financing,客户边+现金流边+产能边+反证边,AI/cloud/IPO-related funds待查,"13F after IPO, credit facilities, Nvidia strategic link"
84,P2_radar_if_blocks_d2,005930.KS,Samsung Electronics,韩国,卫星资产池,D2-D4,HBM/DRAM/foundry/packaging,候选池,83,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,"HBM qualification, cyclicality, foundry losses",GPU/ASIC demand → memory/foundry/packaging → revenue,BOM边+产能边+技术边,Korea/semis ETFs,IBKR韩国权限需核验
85,P2_radar_if_blocks_d2,KLA,KLA,US,美国资产池,D3-D4,Inspection/metrology,核心beta/候选,83,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / earnings call / investor presentation / product and application pages,AI/HBM tester demand; SoC vs memory tester mix; probe/socket orders; inspection/metrology AI packaging exposure; margin,"Original sources prove HBM, AI accelerator, or advanced packaging complexity is increasing test or inspection revenue.",Revenue is broad semi-cycle recovery with no AI/HBM/advanced packaging mix or order evidence.,原文需核验: advanced packaging/AI mix,大盘beta、估值已反映,AI leading-edge + advanced packaging → process control demand,产能边+技术边,SMH/SOXX,13F大盘
86,P2_radar_if_blocks_d2,ABBN.SW / ABB,ABB,欧洲,卫星资产池,D2-D4,Grid/electrification/automation,核心/候选池,80,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI占比、周期,AI DC grid/electrical demand → electrification equipment → backlog,产能边+现金流边,GRID/industrial ETFs,ADR/IBKR
87,P2_radar_if_blocks_d2,ETN,Eaton,US,美国资产池,D2-D4,Electrical equipment,核心/候选池,80,core_review,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验: DC mix/backlog,AI占比不透明、周期/估值,AI DC power demand → switchgear/UPS/electrical gear → backlog,产能边+现金流边,GRID/PAVE/industrial ETFs,13F工业大盘
88,P2_radar_if_blocks_d2,002335.SZ,科华数据,A股主板,中国资产池,D2-D4,UPS/IDC/power,候选/雷达池,79,high_priority,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,AI占比不清、IDC财务压力,AI DC power reliability → UPS/power systems → orders,客户边+产能边,A股电源/IDC ETF,公募/北向
89,P2_radar_if_blocks_d2,002518.SZ,科士达,A股主板,中国资产池,D2-D4,UPS/power electronics,候选/雷达池,79,high_priority,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,新能源业务混杂、价格竞争,AI DC power → UPS/power conversion → revenue/margins,BOM边+产能边,A股电源ETF,公募/北向
90,P2_radar_if_blocks_d2,4004.T,Resonac,日本,卫星资产池,D3-D4,Packaging/semiconductor materials,候选池,79,high_priority,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,材料需求分散、传统周期,HBM/CoWoS → underfill/MUF/materials → revenue mix,BOM边+技术边,Japan/materials ETFs,IBKR日本通常可达
91,P2_radar_if_blocks_d2,CSCO,Cisco,US,美国资产池,D2-D4,Networking + optics + security,候选/雷达池,79,high_priority,pending_original_source_verification,Verify whether this D3-D4/D4 node can actually block D0-D2 before deeper work.,10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验: AI-specific revenue,增长慢、AI专用度弱、毛利压力 | [options-flow-alert 2026-05-13: squeeze_score=9503],AI DC buildout → networking/switching/optics/security → enterprise/cloud,客户边+技术边,XLK/tech ETFs,13F大盘
